Fh [kN],u [mm]
13.01,0.236373374
13.56,0.247299762
14.37,0.264213558
15.03,0.27530893
15.79,0.297445641
16.49,0.313096342
17.06,0.318866472
17.9,0.338127828
18.6,0.35386949
19.32,0.36805572
20,0.387737983
20.69,0.400405203
21.44,0.422321278
21.94,0.433612553
22.87,0.450885989
23.34,0.470797439
24.24,0.486754413
24.82,0.501588881
25.6,0.525764599
26.24,0.536876458
26.86,0.556336577
27.63,0.574222073
28.29,0.595446558
29.02,0.610847024
29.66,0.620870342
30.32,0.638408784
31.13,0.654507181
31.81,0.678161538
32.41,0.691254622
33.21,0.715942389
33.98,0.722013132
34.52,0.744426232
35.24,0.758899687
35.99,0.77900169
36.61,0.793847141
37.2,0.812260698
37.79,0.83931446
38.36,0.856716086
38.83,0.876908294
39.4,0.897454285
39.86,0.914973996
40.17,0.936597789
40.64,0.950093684
40.8,0.973543356
41.17,0.990275588
41.52,1.002672927
41.6,1.022505026
41.86,1.045472402
42.15,1.063257782
42.19,1.077249304
42.46,1.093496589
42.46,1.110510512
42.72,1.127388349
42.75,1.141679916
42.91,1.154166748
42.94,1.172891293
43.11,1.186546861
43.08,1.198008645
43.21,1.207344997
43.16,1.214848481
43.27,1.226744048
43.12,1.232785572
43.1,1.241289715
43.11,1.241482177
42.92,1.250842078
42.73,1.245000227
42.76,1.249796504
42.64,1.256872239
42.37,1.251662132
42.36,1.256776685
42.27,1.251270191
42.17,1.255314669
42.35,1.258111067
42.09,1.256937428
42.23,1.253095477
42.22,1.260184617
42.21,1.263378533
42.2,1.264897951
42.27,1.268242986
42.28,1.268826708
42.29,1.267401168
42.39,1.273431901
42.46,1.275382621
41.7,1.263950176
41.33,1.26433394
41.23,1.262130527
38.01,1.228222841
37.75,1.22172986
37.64,1.219272927
37.97,1.223368931
37.54,1.225665337
36.92,1.21872986
35.77,1.203768457
34.21,1.179016021
33.26,1.155028228
32.34,1.14352823
30.84,1.126492558
29.38,1.096153037
28.52,1.074197339
27.53,1.058024242
26.12,1.03364549
25.03,1.013125559
24.25,0.995329284
23.12,0.975204953
22,0.960101717
21.31,0.930782308
20.4,0.919261661
19.08,0.906165821
18.31,0.878953295
17.58,0.854245122
16.41,0.833699681
15.76,0.81288366
14.75,0.804782743
13.96,0.771295209
13.27,0.755911099
12.28,0.734921982
11.59,0.717987859
11.04,0.696537459
10.35,0.679632352
9.801,0.677844294
9.161,0.658089524
8.481,0.642142438
7.868,0.627179746
7.167,0.620907253
6.468,0.606274697
5.81,0.589588572
5.051,0.571862522
4.444,0.557038067
3.701,0.542322417
3.093,0.519744907
2.434,0.513201854
1.775,0.494678981
1.266,0.480056181
0.7344,0.464205921
0.1794,0.443493121
-0.275,0.4407351
-0.7948,0.424590752
-1.189,0.417187001
-1.52,0.403461834
-1.836,0.395112777
-2.486,0.37964204
-2.824,0.367888115
-3.26,0.361233751
-3.56,0.35087438
-3.859,0.343413499
-4.44,0.33251693
-4.816,0.317166119
-5.57,0.30624336
-5.978,0.289270313
-6.675,0.280824809
-7.103,0.262576571
-7.748,0.246450209
-8.271,0.233895425
-8.805,0.214468587
-9.363,0.205967024
-9.957,0.192063746
-10.49,0.175939491
-10.98,0.162232232
-11.54,0.150501862
-12.14,0.142340794
-12.58,0.123773211
-13.17,0.104463636
-13.62,0.090808868
-14.12,0.070632799
-14.54,0.061569149
-14.91,0.04085799
-15.47,0.024686872
-15.91,0.007021556
-16.13,-0.007103055
-16.68,-0.02232526
-17.17,-0.042097732
-17.38,-0.054158972
-17.92,-0.069966947
-18.09,-0.087787985
-18.62,-0.09699378
-18.94,-0.114533774
-19.23,-0.139878546
-19.68,-0.147238374
-19.77,-0.169970082
-20.26,-0.181242826
-20.41,-0.210343728
-20.66,-0.216224589
-21.39,-0.227193569
-21.23,-0.25027403
-21.47,-0.265567359
-21.71,-0.283219777
-21.93,-0.296233186
-22.22,-0.310532889
-22.28,-0.333423471
-22.53,-0.349750563
-22.86,-0.355665258
-22.86,-0.37737025
-23.1,-0.392323009
-23.4,-0.407967608
-23.42,-0.425569498
-23.59,-0.444372907
-24,-0.452053298
-24.03,-0.477796976
-24.1,-0.489462918
-24.56,-0.507670844
-24.56,-0.529938953
-24.65,-0.544012561
-25.12,-0.56294348
-25.08,-0.576212914
-25.17,-0.592845322
-25.61,-0.608661501
-25.64,-0.625348322
-25.7,-0.643228633
-26.07,-0.65662643
-26.24,-0.670036934
-26.19,-0.687324834
-26.51,-0.701719685
-26.79,-0.71822769
-26.68,-0.734510676
-26.97,-0.742781502
-27.22,-0.774445095
-27.26,-0.778079375
-27.35,-0.802061669
-27.59,-0.823310249
-27.82,-0.833654742
-27.98,-0.847096266
-28,-0.864909422
-28.11,-0.879502009
-28.44,-0.903027684
-28.65,-0.913187847
-28.75,-0.930374188
-28.75,-0.94604858
-28.9,-0.959374573
-29.29,-0.971431539
-29.38,-1.006990753
-29.33,-1.018094623
-29.64,-1.029962221
-29.96,-1.037083137
-29.94,-1.059081353
-29.95,-1.079545938
-30.31,-1.094515513
-30.48,-1.108973725
-30.44,-1.130912048
-30.63,-1.140633645
-31,-1.16102517
-30.97,-1.170981301
-31.05,-1.191691332
-31.26,-1.204340712
-31.59,-1.224789416
