image_names,cumulative deformation(mm),degraded strength(KN),times(s)
LS06_to_LS07_RS3_0032,5.340248472000001,53.02,207
LS06_to_LS07_RS3_0033,5.370322673,53.02,208
LS06_to_LS07_RS3_0034,5.4008388400000005,53.02,209
LS06_to_LS07_RS3_0035,5.430657469000001,53.02,210
LS06_to_LS07_RS3_0036,5.466639278000001,53.02,211
LS06_to_LS07_RS3_0037,5.496165747000001,53.02,212
LS06_to_LS07_RS3_0038,5.528782235000001,53.02,213
LS06_to_LS07_RS3_0039,5.562771738000001,53.02,214
LS06_to_LS07_RS3_0040,5.5930527790000015,53.02,215
LS06_to_LS07_RS3_0041,5.630308609000002,53.02,216
LS06_to_LS07_RS3_0042,5.662900381000002,53.02,217
LS06_to_LS07_RS3_0043,5.693448690000002,53.02,218
LS06_to_LS07_RS3_0044,5.725496976000002,53.02,219
LS06_to_LS07_RS3_0045,5.762356814000002,53.02,220
LS06_to_LS07_RS3_0046,5.7946639970000025,53.02,221
LS06_to_LS07_RS3_0047,5.836151739000003,53.02,222
LS06_to_LS07_RS3_0048,5.874856056000002,53.02,223
LS06_to_LS07_RS3_0049,5.919684606000002,53.02,224
LS06_to_LS07_RS3_0050,5.959822834000002,53.02,225
LS06_to_LS07_RS3_0051,6.003358921000002,53.02,226
LS06_to_LS07_RS3_0052,6.0483356220000015,53.02,227
LS06_to_LS07_RS3_0053,6.082867295000002,53.02,228
LS06_to_LS07_RS3_0054,6.115873489000002,53.02,229
LS06_to_LS07_RS3_0055,6.119959532000002,53.02,230
LS07_to_LS08_RS3_0001,6.148510206000002,53.02,231
LS07_to_LS08_RS3_0002,6.181093714000002,53.02,232
LS07_to_LS08_RS3_0003,6.213166917000002,53.02,233
LS07_to_LS08_RS3_0004,6.2373843140000025,53.02,234
LS07_to_LS08_RS3_0005,6.275463609000003,53.02,235
LS07_to_LS08_RS3_0006,6.303162488000003,53.02,236
LS07_to_LS08_RS3_0007,6.331584310000003,53.02,237
LS07_to_LS08_RS3_0008,6.364553229000003,53.02,238
LS07_to_LS08_RS3_0009,6.391128822000002,53.02,239
LS07_to_LS08_RS3_0010,6.427994682000002,53.02,240
LS07_to_LS08_RS3_0011,6.455626502000002,53.02,241
LS07_to_LS08_RS3_0012,6.491102755000002,53.02,242
LS07_to_LS08_RS3_0013,6.507107452000001,53.02,243
LS07_to_LS08_RS3_0014,6.550391160000001,53.02,244
LS07_to_LS08_RS3_0015,6.578268751000001,53.02,245
LS07_to_LS08_RS3_0016,6.602815514000001,53.02,246
LS07_to_LS08_RS3_0017,6.637040759000001,53.02,247
LS07_to_LS08_RS3_0018,6.662909514000002,53.02,248
LS07_to_LS08_RS3_0019,6.690957253000001,53.02,249
LS07_to_LS08_RS3_0020,6.716294658000002,53.02,250
LS07_to_LS08_RS3_0021,6.740404998000002,53.02,251
LS07_to_LS08_RS3_0022,6.771057330000001,53.02,252
LS07_to_LS08_RS3_0023,6.795925307000002,53.02,253
LS07_to_LS08_RS3_0024,6.824792993000002,53.02,254
LS07_to_LS08_RS3_0025,6.849950553000002,53.02,255
LS07_to_LS08_RS3_0026,6.866867932000002,53.02,256
LS07_to_LS08_RS3_0027,6.883500013000002,53.02,257
LS07_to_LS08_RS3_0028,6.915231243000002,53.02,258
LS07_to_LS08_RS3_0029,6.937355914000002,53.02,259
LS07_to_LS08_RS3_0030,6.969294318000002,53.02,260
LS07_to_LS08_RS3_0031,6.996297919000002,53.02,261
LS07_to_LS08_RS3_0032,7.023204081000002,53.02,262
LS07_to_LS08_RS3_0033,7.056754361000002,53.02,263
LS07_to_LS08_RS3_0034,7.086610812000002,53.02,264
LS07_to_LS08_RS3_0035,7.1144292820000015,53.02,265
LS07_to_LS08_RS3_0036,7.152492303000002,53.02,266
LS07_to_LS08_RS3_0037,7.191174887000002,53.02,267
LS07_to_LS08_RS3_0038,7.225433839000002,53.02,268
LS07_to_LS08_RS3_0039,7.254941968000002,53.02,269
LS07_to_LS08_RS3_0040,7.288239197000002,53.02,270
LS07_to_LS08_RS3_0041,7.324589229000002,53.02,271
LS07_to_LS08_RS3_0042,7.357396928000002,53.02,272
LS07_to_LS08_RS3_0043,7.396561335000002,53.02,273
LS07_to_LS08_RS3_0044,7.422267710000002,53.02,274
LS07_to_LS08_RS3_0045,7.454421316000001,53.02,275
LS07_to_LS08_RS3_0046,7.494052157000001,53.02,276
LS07_to_LS08_RS3_0047,7.524891548000001,53.02,277
LS07_to_LS08_RS3_0048,7.563977679000001,53.02,278
LS07_to_LS08_RS3_0049,7.602071826,53.02,279
LS07_to_LS08_RS3_0050,7.634253217,53.02,280
LS07_to_LS08_RS3_0051,7.683206404,53.02,281
LS07_to_LS08_RS3_0052,7.718276605,53.02,282
LS07_to_LS08_RS3_0053,7.7504756829999994,53.02,283
LS07_to_LS08_RS3_0054,7.791199829999999,53.02,284
LS07_to_LS08_RS3_0055,7.810435662999999,53.02,285
LS08_to_LS09_RS3_0001,7.824314262999999,53.02,286
LS08_to_LS09_RS3_0002,7.826094967999999,53.02,287
LS08_to_LS09_RS3_0003,7.837075940999998,53.02,288
LS08_to_LS09_RS3_0004,7.871321137999998,53.02,289
LS08_to_LS09_RS3_0005,7.899474616999998,53.02,290
LS08_to_LS09_RS3_0006,7.928369343999998,53.02,291
LS08_to_LS09_RS3_0007,7.963015324999998,53.02,292
LS08_to_LS09_RS3_0008,7.997280993999998,53.02,293
LS08_to_LS09_RS3_0009,8.025341646999998,53.02,294
LS08_to_LS09_RS3_0010,8.055803351999998,53.02,295
LS08_to_LS09_RS3_0011,8.090168849999998,53.02,296
LS08_to_LS09_RS3_0012,8.126004930999997,53.02,297
LS08_to_LS09_RS3_0013,8.157504578999998,53.02,298
LS08_to_LS09_RS3_0014,8.185053977999997,53.02,299
LS08_to_LS09_RS3_0015,8.218786677999997,53.02,300
LS08_to_LS09_RS3_0016,8.243762233999997,53.02,301
LS08_to_LS09_RS3_0017,8.276626543999997,53.02,302
LS08_to_LS09_RS3_0018,8.306490229999998,53.02,303
LS08_to_LS09_RS3_0019,8.332158604999998,53.02,304
LS08_to_LS09_RS3_0020,8.369651077999999,53.02,305
LS08_to_LS09_RS3_0021,8.394155543999998,53.02,306
LS08_to_LS09_RS3_0022,8.426319127,53.02,307
LS08_to_LS09_RS3_0023,8.458444489,53.02,308
LS08_to_LS09_RS3_0024,8.478389616,53.02,309
LS08_to_LS09_RS3_0025,8.499177632999999,53.02,310
LS08_to_LS09_RS3_0026,8.515580617999998,53.02,311
LS08_to_LS09_RS3_0027,8.544041085999998,53.02,312
LS08_to_LS09_RS3_0028,8.566863422999997,53.02,313
LS08_to_LS09_RS3_0029,8.596477701999998,53.02,314
LS08_to_LS09_RS3_0030,8.626561878999999,53.02,315
LS08_to_LS09_RS3_0031,8.651691203999999,53.02,316
LS08_to_LS09_RS3_0032,8.683884867999998,53.02,317
LS08_to_LS09_RS3_0033,8.710703946999997,53.02,318
LS08_to_LS09_RS3_0034,8.738707006999997,53.02,319
LS08_to_LS09_RS3_0035,8.766338289999997,53.02,320
LS08_to_LS09_RS3_0036,8.795879961999997,53.02,321
LS08_to_LS09_RS3_0037,8.830962271999997,53.02,322
LS08_to_LS09_RS3_0038,8.846722832999998,53.02,323
LS08_to_LS09_RS3_0039,8.895892562999997,53.02,324
LS08_to_LS09_RS3_0040,8.928512399999997,53.02,325
LS08_to_LS09_RS3_0041,8.958516955999997,53.02,326
LS08_to_LS09_RS3_0042,9.000212256999998,53.02,327
LS08_to_LS09_RS3_0043,9.029094347999997,53.02,328
LS08_to_LS09_RS3_0044,9.064397391999998,53.02,329
LS08_to_LS09_RS3_0045,9.097895869999999,53.02,330
LS08_to_LS09_RS3_0046,9.127917866999999,53.02,331
LS08_to_LS09_RS3_0047,9.167911547,53.02,332
LS08_to_LS09_RS3_0048,9.194166404999999,53.02,333
LS08_to_LS09_RS3_0049,9.231402808999999,53.02,334
LS08_to_LS09_RS3_0050,9.268605253999999,53.02,335
LS08_to_LS09_RS3_0051,9.297868189999999,53.02,336
LS08_to_LS09_RS3_0052,9.339973615,53.02,337
LS08_to_LS09_RS3_0053,9.374141048,53.02,338
LS08_to_LS09_RS3_0054,9.415235527,53.02,339
LS08_to_LS09_RS3_0055,9.456329007,53.02,340
LS09_to_LS10_RS3_0001,9.470307939000001,53.02,341
LS09_to_LS10_RS3_0002,9.484779632000002,53.02,342
LS09_to_LS10_RS3_0003,9.522380115000002,53.02,343
LS09_to_LS10_RS3_0004,9.549367322000002,53.02,344
LS09_to_LS10_RS3_0005,9.581607958000001,53.02,345
LS09_to_LS10_RS3_0006,9.610297407000001,53.02,346
LS09_to_LS10_RS3_0007,9.639574187000001,53.02,347
LS09_to_LS10_RS3_0008,9.671016226,53.02,348
LS09_to_LS10_RS3_0009,9.706866289,53.02,349
LS09_to_LS10_RS3_0010,9.737113285000001,53.02,350
LS09_to_LS10_RS3_0011,9.766527278000002,53.02,351
LS09_to_LS10_RS3_0012,9.795580970000001,53.02,352
LS09_to_LS10_RS3_0013,9.827266040000001,53.02,353
LS09_to_LS10_RS3_0014,9.864342425000002,53.02,354
LS09_to_LS10_RS3_0015,9.894534033000003,53.02,355
LS09_to_LS10_RS3_0016,9.915068771000003,53.02,356
LS09_to_LS10_RS3_0017,9.950397700000003,53.02,357
LS09_to_LS10_RS3_0018,9.982625402000004,53.02,358
LS09_to_LS10_RS3_0019,10.009976196000004,53.02,359
LS09_to_LS10_RS3_0020,10.036899723000003,53.02,360
LS09_to_LS10_RS3_0021,10.067730546000003,53.02,361
LS09_to_LS10_RS3_0022,10.089643131000004,53.02,362
LS09_to_LS10_RS3_0023,10.122761030000005,53.02,363
LS09_to_LS10_RS3_0024,10.147844731000005,53.02,364
LS09_to_LS10_RS3_0025,10.173042393000005,53.02,365
LS09_to_LS10_RS3_0026,10.183023937000005,53.02,366
LS09_to_LS10_RS3_0027,10.215952588000006,53.02,367
LS09_to_LS10_RS3_0028,10.234257568000006,53.02,368
LS09_to_LS10_RS3_0029,10.264504112000006,53.02,369
LS09_to_LS10_RS3_0030,10.285537125000006,53.02,370
LS09_to_LS10_RS3_0031,10.311544498000007,53.02,371
LS09_to_LS10_RS3_0032,10.340620450000007,53.02,372
LS09_to_LS10_RS3_0033,10.375133714000006,53.02,373
LS09_to_LS10_RS3_0034,10.408426132000006,53.02,374
LS09_to_LS10_RS3_0035,10.438526292000006,53.02,375
LS09_to_LS10_RS3_0036,10.470853746000007,53.02,376
LS09_to_LS10_RS3_0037,10.505721616000006,53.02,377
LS09_to_LS10_RS3_0038,10.536139593000007,53.02,378
LS09_to_LS10_RS3_0039,10.574443138000007,53.02,379
LS09_to_LS10_RS3_0040,10.610215192000007,53.02,380
LS09_to_LS10_RS3_0041,10.643149592000007,53.02,381
LS09_to_LS10_RS3_0042,10.676843979000008,53.02,382
LS09_to_LS10_RS3_0043,10.707370369000008,53.02,383
LS09_to_LS10_RS3_0044,10.742204671000009,53.02,384
LS09_to_LS10_RS3_0045,10.769485595000008,53.02,385
LS09_to_LS10_RS3_0046,10.812895177000009,53.02,386
LS09_to_LS10_RS3_0047,10.844911231000008,53.02,387
LS09_to_LS10_RS3_0048,10.880882176000009,53.02,388
LS09_to_LS10_RS3_0049,10.915544336000009,53.02,389
LS09_to_LS10_RS3_0050,10.953294967000009,53.02,390
LS09_to_LS10_RS3_0051,10.983724048000008,53.02,391
LS09_to_LS10_RS3_0052,11.024792096000008,53.02,392
LS09_to_LS10_RS3_0053,11.059257783000009,53.02,393
LS09_to_LS10_RS3_0054,11.093671787000009,53.02,394
LS09_to_LS10_RS3_0055,11.130722459000008,53.02,395
LS09_to_LS10_RS3_0056,11.177825804000008,53.02,396
LS09_to_LS10_RS3_0057,11.210512203000008,53.02,397
LS09_to_LS10_RS3_0058,11.252471252000008,53.02,398
LS09_to_LS10_RS3_0059,11.295713171000008,53.02,399
LS09_to_LS10_RS3_0060,11.331809890000008,53.02,400
LS09_to_LS10_RS3_0061,11.380221617000007,53.02,401
LS09_to_LS10_RS3_0062,11.423681568000006,53.02,402
LS09_to_LS10_RS3_0063,11.468869614000006,53.02,403
LS09_to_LS10_RS3_0064,11.519630511000006,53.02,404
LS09_to_LS10_RS3_0065,11.565891714000006,53.02,405
LS09_to_LS10_RS3_0066,11.607704727000007,53.02,406
LS09_to_LS10_RS3_0067,11.652786755000006,53.02,407
LS09_to_LS10_RS3_0068,11.697626082000006,53.02,408
LS09_to_LS10_RS3_0069,11.749899367000006,53.02,409
LS09_to_LS10_RS3_0070,11.796658160000007,53.02,410
LS09_to_LS10_RS3_0071,11.848017448000007,53.02,411
LS09_to_LS10_RS3_0072,11.885919925000007,53.02,412
LS09_to_LS10_RS3_0073,11.938734540000008,53.02,413
LS09_to_LS10_RS3_0074,11.975262808000007,53.02,414
LS10_to_LS11_RS3_0001,12.007461723000008,53.02,415
LS10_to_LS11_RS3_0002,12.047219320000007,53.02,416
LS10_to_LS11_RS3_0003,12.077929181000007,53.02,417
LS10_to_LS11_RS3_0004,12.110433998000007,53.02,418
LS10_to_LS11_RS3_0005,12.153799760000007,53.02,419
LS10_to_LS11_RS3_0006,12.190566759000006,53.02,420
LS10_to_LS11_RS3_0007,12.220651689000006,53.02,421
LS10_to_LS11_RS3_0008,12.256129901000005,53.02,422
LS10_to_LS11_RS3_0009,12.299713873000005,53.02,423
LS10_to_LS11_RS3_0010,12.329858762000006,53.02,424
LS10_to_LS11_RS3_0011,12.367022153000006,53.02,425
LS10_to_LS11_RS3_0012,12.403464731000007,53.02,426
LS10_to_LS11_RS3_0013,12.436796533000006,53.02,427
LS10_to_LS11_RS3_0014,12.474686150000005,53.02,428
LS10_to_LS11_RS3_0015,12.506403696000005,53.02,429
LS10_to_LS11_RS3_0016,12.538131937000005,53.02,430
LS10_to_LS11_RS3_0017,12.578351455000005,53.02,431
LS10_to_LS11_RS3_0018,12.613295067000005,53.02,432
LS10_to_LS11_RS3_0019,12.648440930000005,53.02,433
LS10_to_LS11_RS3_0020,12.689339914000005,53.02,434
LS10_to_LS11_RS3_0021,12.717300440000004,53.02,435
LS10_to_LS11_RS3_0022,12.759810579000005,53.02,436
LS10_to_LS11_RS3_0023,12.788963744000005,53.02,437
LS10_to_LS11_RS3_0024,12.817175293000005,53.02,438
LS10_to_LS11_RS3_0025,12.851147748000006,53.02,439
LS10_to_LS11_RS3_0026,12.881148120000006,53.02,440
LS10_to_LS11_RS3_0027,12.912941411000006,53.02,441
LS10_to_LS11_RS3_0028,12.944744473000005,53.02,442
LS10_to_LS11_RS3_0029,12.980785132000005,53.02,443
LS10_to_LS11_RS3_0030,13.014273401000004,53.02,444
LS10_to_LS11_RS3_0031,13.045266807000004,53.02,445
LS10_to_LS11_RS3_0032,13.073061092000005,53.02,446
LS10_to_LS11_RS3_0033,13.100812800000005,53.02,447
LS10_to_LS11_RS3_0034,13.131636698000005,53.02,448
LS10_to_LS11_RS3_0035,13.163322458000005,53.02,449
LS10_to_LS11_RS3_0036,13.186177058000006,53.02,450
LS10_to_LS11_RS3_0037,13.208822471000005,53.02,451
LS10_to_LS11_RS3_0038,13.233967340000005,53.02,452
