load_step_names,image_names,Fh [kN],u [mm],Fv_total [kN],Fv_s [kN],Fv_n [kN],lv1 [mm],lv2 [mm],lv3 [mm],lv4 [mm],lv5 [mm],lv6 [mm],lv7 [mm],lv8 [mm],lv9 [mm],lv10 [mm],lv11 [mm],lv12 [mm],lv13 [mm],lv14 [mm]
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0081,0.2276,NaN,-48.77,-24.47,-24.3,-0.1241,-0.05152,-0.1905,-0.2082,0.00428,-0.00174,0.00172,-0.0045,-0.00221,-0.00513,0.00036,0.00225,0.00017,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0082,0.15,NaN,-42.97,-21.45,-21.52,-0.1242,-0.05162,-0.1784,-0.1954,0.00425,-0.00174,0.00159,-0.00426,-0.00052,-0.00516,0.00032,0.00218,0.00014,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0083,0.2263,NaN,-38.93,-19.53,-19.4,-0.124,-0.05155,-0.1675,-0.1868,0.00427,-0.0017,0.00163,-0.00398,0.00088,-0.00513,0.00034,0.00219,0.00017,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0084,0.1997,NaN,-33.95,-17.03,-16.92,-0.124,-0.0516,-0.1536,-0.1742,0.00413,-0.00173,0.00148,-0.00367,0.00229,-0.00511,0.00029,0.00209,0.00012,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0085,0.238,NaN,-28.91,-14.52,-14.39,-0.124,-0.05176,-0.1389,-0.1593,0.00389,-0.0017,0.00136,-0.00326,0.00341,-0.00508,0.00027,0.00205,0.00014,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0086,0.2951,NaN,-22.51,-11.41,-11.1,-0.1236,-0.05188,-0.1135,-0.139,0.00355,-0.00154,0.00124,-0.00265,0.00457,-0.00475,0.00027,0.0018,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0087,0.131,NaN,-18.175,-9.093,-9.082,-0.1234,-0.0519,-0.101,-0.1205,0.0032,-0.00146,0.00111,-0.00221,0.00516,-0.00451,0.00025,0.00161,0.00013,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0088,0.1479,NaN,-13.985,-6.939,-7.046,-0.1228,-0.05204,-0.09,-0.09513,0.00277,-0.00144,0.00093,-0.00189,0.00557,-0.0043,0.0002,0.0013,0.00012,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0089,0.2581,NaN,-9.936,-5.12,-4.816,-0.1226,-0.05201,-0.06058,-0.08193,0.00206,-0.00115,0.00076,-0.00148,0.00611,-0.00353,0.00019,0.00092,0.0001,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0090,0.156,NaN,-10.166,-5.055,-5.111,-0.1224,-0.05211,-0.06071,-0.07554,0.00203,-0.00116,0.00076,-0.00148,0.00609,-0.00352,0.00019,0.00083,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0091,0.1938,NaN,-12.291,-6.208,-6.083,-0.1222,-0.05198,-0.06094,-0.08627,0.00204,-0.00116,0.00078,-0.00144,0.00617,-0.00348,0.00019,0.00083,0,-0.00011
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0092,0.1677,NaN,-17.538,-8.724,-8.814,-0.1221,-0.05196,-0.08037,-0.1029,0.00214,-0.00127,0.00079,-0.00162,0.00609,-0.00351,0.00014,0.00082,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0093,0.2591,NaN,-22.63,-11.28,-11.35,-0.1219,-0.05193,-0.09899,-0.1238,0.00248,-0.00133,0.00094,-0.00183,0.00581,-0.00351,0.00023,0.00097,0.00016,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0094,0.00964,NaN,-27.99,-14.04,-13.95,-0.1219,-0.05194,-0.1098,-0.1505,0.00278,-0.00142,0.00101,-0.00207,0.00545,-0.0036,0.00025,0.00102,0.00012,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0095,0.03568,NaN,-33.3,-16.73,-16.57,-0.1219,-0.05206,-0.1323,-0.1654,0.00315,-0.00159,0.00114,-0.0026,0.00425,-0.00404,0.00026,0.00119,0.00012,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0096,0.2484,NaN,-38.43,-19.17,-19.26,-0.1219,-0.05194,-0.1527,-0.1714,0.00349,-0.00166,0.00132,-0.00309,0.00248,-0.00437,0.00029,0.00145,0.00016,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0097,0.3635,NaN,-43.33,-21.7,-21.63,-0.1219,-0.05194,-0.1657,-0.1866,0.00372,-0.00177,0.00137,-0.00353,0.00092,-0.00467,0.00027,0.00161,0,-0.00012
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0098,0.00417,NaN,-48.54,-24.23,-24.31,-0.122,-0.05199,-0.1769,-0.2044,0.00397,-0.00178,0.00149,-0.00394,0,-0.00494,0.00031,0.00192,0.00018,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0099,0.1935,NaN,-52.46,-26.17,-26.29,-0.1219,-0.05206,-0.1936,-0.2101,0.00421,-0.00179,0.00167,-0.00447,-0.00117,-0.00517,0.0003,0.00203,0.00015,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0100,0.04609,NaN,-58.48,-29.19,-29.29,-0.1222,-0.05199,-0.2125,-0.2299,0.00462,-0.00192,0.00182,-0.00548,-0.00218,-0.00551,0.00032,0.00229,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0101,0.3307,NaN,-62.16,-31.18,-30.98,-0.1223,-0.05204,-0.2324,-0.2409,0.00507,-0.00211,0.00199,-0.00629,-0.00282,-0.00581,0.0004,0.00261,0.00017,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0102,0.1786,NaN,-67.45,-33.69,-33.76,-0.1224,-0.05196,-0.2642,-0.2565,0.00589,-0.00243,0.0023,-0.00787,-0.00374,-0.00642,0.00046,0.00307,0.0002,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0103,0.1247,NaN,-72.42,-36.19,-36.23,-0.1221,-0.05181,-0.2909,-0.2782,0.00679,-0.0027,0.00259,-0.00937,-0.00448,-0.00695,0.00057,0.00359,0.00029,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0104,0.1786,NaN,-77.47,-38.72,-38.75,-0.1222,-0.05183,-0.3225,-0.2981,0.00798,-0.00307,0.00282,-0.01108,-0.0055,-0.00754,0.00064,0.00404,0.00015,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0105,0.07526,NaN,-82.05,-40.95,-41.1,-0.1221,-0.05185,-0.3584,-0.3185,0.00935,-0.00345,0.00318,-0.01335,-0.00637,-0.00836,0.00081,0.00468,0.00034,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0106,0.1536,NaN,-82.31,-41.11,-41.2,-0.122,-0.05175,-0.3658,-0.3226,0.00973,-0.00341,0.00337,-0.01385,-0.00654,-0.00855,0.00088,0.00494,0.00043,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0107,0.1745,NaN,-77.77,-38.92,-38.85,-0.122,-0.05172,-0.3687,-0.3196,0.00985,-0.00342,0.00343,-0.01401,-0.00564,-0.00871,0.00088,0.00491,0.00036,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0108,0.231,NaN,-72.48,-36.33,-36.15,-0.1219,-0.05155,-0.3625,-0.3107,0.00984,-0.00348,0.00335,-0.01369,-0.004,-0.00874,0.00083,0.00489,0.00038,-0.0001
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0109,0.2125,NaN,-68.65,-34.4,-34.25,-0.1219,-0.05152,-0.3546,-0.304,0.00983,-0.00344,0.00339,-0.01335,-0.0026,-0.0087,0.00087,0.00494,0.00041,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0110,0.1776,NaN,-62.66,-31.33,-31.33,-0.1217,-0.05155,-0.3433,-0.2919,0.00982,-0.00344,0.00335,-0.01292,-0.00048,-0.00868,0.00085,0.00492,0.00046,-0.00013
