image_names,cumulative deformation(mm),damage_index,times(s)
LS22_to_LS23_RS3_0013,79.88107960800014,4.2381070321532635,1333
LS22_to_LS23_RS3_0014,80.02642817300014,4.244602306492154,1334
LS22_to_LS23_RS3_0015,80.16682444300014,4.250879139638469,1335
LS22_to_LS23_RS3_0016,80.29474974400014,4.25660061348535,1336
LS22_to_LS23_RS3_0017,80.43275183800014,4.262774845465458,1337
LS22_to_LS23_RS3_0018,80.56790236200014,4.268823312776746,1338
LS22_to_LS23_RS3_0019,80.70438472800014,4.27493293070386,1339
LS22_to_LS23_RS3_0020,80.83039409600013,4.280574865682935,1340
LS22_to_LS23_RS3_0021,80.95408201600013,4.286113707117224,1341
LS22_to_LS23_RS3_0022,81.08037785000013,4.29176998234528,1342
LS22_to_LS23_RS3_0023,81.20970487700014,4.297562463830062,1343
LS22_to_LS23_RS3_0024,81.34052317300014,4.30342196353328,1344
LS22_to_LS23_RS3_0025,81.46551771500013,4.309020597869106,1345
LS22_to_LS23_RS3_0026,81.57983223500013,4.3141406675559,1346
LS22_to_LS23_RS3_0027,81.69051463900013,4.3190977205010945,1347
LS22_to_LS23_RS3_0028,81.79536110000012,4.323792961918709,1348
LS22_to_LS23_RS3_0029,81.92503078200012,4.329599053318674,1349
LS22_to_LS23_RS3_0030,82.04688081200013,4.335054021530132,1350
LS22_to_LS23_RS3_0031,82.17446226800013,4.340764325437881,1351
LS22_to_LS23_RS3_0032,82.29933939600012,4.3463521372519995,1352
LS22_to_LS23_RS3_0033,82.42832500900012,4.352122054135922,1353
LS22_to_LS23_RS3_0034,82.55655831600012,4.3578563406133775,1354
LS22_to_LS23_RS3_0035,82.70685717000012,4.36457452488851,1355
LS22_to_LS23_RS3_0036,82.83003954100012,4.370078117462236,1356
LS22_to_LS23_RS3_0037,82.96687039100011,4.376188578858668,1357
LS22_to_LS23_RS3_0038,83.09872441600011,4.382073625865289,1358
LS22_to_LS23_RS3_0039,83.23769678600011,4.3882727452612205,1359
LS22_to_LS23_RS3_0040,83.36819502300011,4.39409020125248,1360
LS22_to_LS23_RS3_0041,83.50935625100011,4.400378723605776,1361
LS22_to_LS23_RS3_0042,83.64321129600012,4.406337388586351,1362
LS22_to_LS23_RS3_0043,83.79147378900012,4.412932115904126,1363
LS22_to_LS23_RS3_0044,83.92329469900012,4.418790566412587,1364
LS22_to_LS23_RS3_0045,84.07354322500012,4.425461967448619,1365
LS22_to_LS23_RS3_0046,84.21187710100013,4.4315983537567,1366
LS22_to_LS23_RS3_0047,84.35256134200013,4.437832818140523,1367
LS22_to_LS23_RS3_0048,84.50128310300013,4.444416353332825,1368
LS22_to_LS23_RS3_0049,84.64296357300013,4.450681064461934,1369
LS22_to_LS23_RS3_0050,84.78386123100013,4.456903955245602,1370
LS22_to_LS23_RS3_0051,84.92681395200013,4.463209950774447,1371
LS22_to_LS23_RS3_0052,85.07468626200013,4.46972450567802,1372
LS22_to_LS23_RS3_0053,85.21614195100013,4.475948005031134,1373
LS22_to_LS23_RS3_0054,85.36615587700012,4.482538741839935,1374
LS22_to_LS23_RS3_0055,85.52398986300012,4.48946232336874,1375
LS22_to_LS23_RS3_0056,85.67096541600013,4.4958993283245015,1376
