image_names,cumulative deformation(mm),degraded stiff(KN/mm),times(s)
LS08_to_LS09_RS3_0007,7.963015324999998,47.35875843508941,292
LS08_to_LS09_RS3_0008,7.997280993999998,47.35252593621268,293
LS08_to_LS09_RS3_0009,8.025341646999998,47.347422052546996,294
LS08_to_LS09_RS3_0010,8.055803351999998,47.34188144739507,295
LS08_to_LS09_RS3_0011,8.090168849999998,47.33563079086525,296
LS08_to_LS09_RS3_0012,8.126004930999997,47.32911265358391,297
LS08_to_LS09_RS3_0013,8.157504578999998,47.32338325951379,298
LS08_to_LS09_RS3_0014,8.185053977999997,47.31837236658996,299
LS08_to_LS09_RS3_0015,8.218786677999997,47.31223680814343,300
LS08_to_LS09_RS3_0016,8.243762233999997,47.30769406523899,301
LS08_to_LS09_RS3_0017,8.276626543999997,47.30171645612943,302
LS08_to_LS09_RS3_0018,8.306490229999998,47.29628462319338,303
LS08_to_LS09_RS3_0019,8.332158604999998,47.2916158651325,304
LS08_to_LS09_RS3_0020,8.369651077999999,47.28479645075427,305
LS08_to_LS09_RS3_0021,8.394155543999998,47.28033939325979,306
LS08_to_LS09_RS3_0022,8.426319127,47.27448923767347,307
LS08_to_LS09_RS3_0023,8.458444489,47.26864603401153,308
LS08_to_LS09_RS3_0024,8.478389616,47.26501826355639,309
LS08_to_LS09_RS3_0025,8.499177632999999,47.26123718189702,310
LS08_to_LS09_RS3_0026,8.515580617999998,47.25825368300233,311
LS08_to_LS09_RS3_0027,8.544041085999998,47.253077077962416,312
LS08_to_LS09_RS3_0028,8.566863422999997,47.24892597880493,313
LS08_to_LS09_RS3_0029,8.596477701999998,47.24353950989919,314
LS08_to_LS09_RS3_0030,8.626561878999999,47.23806757239346,315
LS08_to_LS09_RS3_0031,8.651691203999999,47.23349686082103,316
LS08_to_LS09_RS3_0032,8.683884867999998,47.22764123387507,317
LS08_to_LS09_RS3_0033,8.710703946999997,47.22276317707301,318
LS08_to_LS09_RS3_0034,8.738707006999997,47.21766976885748,319
LS08_to_LS09_RS3_0035,8.766338289999997,47.21264398225282,320
LS08_to_LS09_RS3_0036,8.795879961999997,47.207270719657046,321
LS08_to_LS09_RS3_0037,8.830962271999997,47.20088968394261,322
LS08_to_LS09_RS3_0038,8.846722832999998,47.19802303398083,323
LS08_to_LS09_RS3_0039,8.895892562999997,47.189079671836225,324
